year,month,title,description,pubDate
2003,1,<새해 첫 날 지구촌 표정>,(도쿄.런던.보고타.뉴욕.예루살렘.마나마.카라카스 =연합뉴스) 계미년 새해를 맞은 1일 새출발을 다짐하는 축제분위기 속에서도 전쟁과 테러의 공포는... 홍콩 축구경기장에서는 1천여명의 불교 승려들이 둥젠화(董建華)홍콩 행정장관을 포함한 수천명의 인파와 함께 새해 축원을 기도했다. 호주 시드니에서는...,2003-01-02 00:00:00
2003,1,문섬등 서귀포 70景 선정,"전설이 남아있는 ‘서불과지’, 탐라왕자묘, 칠선녀 축제, 백중날 물맞이 풍습, 삼매봉 해안가의 일본군 위장 진지동굴 등으로 결정됐다. 인문사회 부문에서는 제주 전통배인 ‘테우’, 서귀포 감귤 등이 선정됐으며, 건축시설로는 제주월드컵경기장, 여미지식물원, 이중섭 거주지, 약천사 등이 선정됐다. 〈〉",2003-01-02 00:00:00
2003,1,유통계‘할인’대공습…“왕대박 받아라!”,지난해 세밑 경기는 꽁꽁 얼어붙었 다. 사상초유의 마이너스 성장이 백화점과 할인점 업계를 강타했 다. 워낙 경기가 좋지 않은 탓도 있겠지만 아예... 100% 당첨 경품 축제가 많은데 실질적으 로 ‘알맹이’는 몇명에게 추첨해서 주고 나머지 대부분의 고객 에게는 상품권 1만원권이나 싱크대 세정제 등이...,2003-01-03 00:00:00
2003,1,유통계 ‘할인’ 대공습,지난해 세밑 경기는 꽁꽁 얼어붙었 다. 사상초유의 마이너스 성장이 백화점과 할인점 업계를 강타했 다. 워낙 경기가 좋지 않은 탓도 있겠지만 아예... 100% 당첨 경품 축제가 많은데 실질적으 로 ‘알맹이’는 몇명에게 추첨해서 주고 나머지 대부분의 고객 에게는 상품권 1만원권이나 싱크대 세정제 등이...,2003-01-03 00:00:00
2003,1,[단신] 성결대 수지침 동아리 봉사상 수상,"경기도 안양 성결대(총장 김성영) 수지침 동아리 ‘성결사랑 나눔회’가 경기도가 개최한 2002 경기도 자원봉사 대축제에서 우수 프로그램 운영단체로 선정,봉사상을 받았다. ‘성결사랑 나눔회’는 무료 수지침 강좌를 열고 지역사회의 소외계층을 대상으로 수지침 무료시술 활동을 지속적으로 펼쳐 이 상을...",2003-01-03 00:00:00
2003,1,[인문사회]'월드컵 그 열정의 사회학',질서의 축제였던 ‘2002년 6월’을 추억 속에만 남기지 말자고 제안한다. 과연 15년 전인 1987년 서울 광화문과 시청을 메웠던 넥타이부대와 2002년 ‘오! 필승 코리아’를 외쳤던 붉은 티셔츠의 주인공 사이에는 무슨 차이가 있는가. 광적인 축구 응원단의 대명사인 ‘훌리건(Hooligan)’과 경기가 끝난 뒤...,2003-01-03 00:00:00
2003,1,“北 참가 긍정적…경제적 대회 자신”,경기는 순수 아마추어리즘을 추구하고 경기 못지않게 문화와 학술활동이 강조되는 세계대학생들의 종합 축제다” －대구U대회가 역점을 두는 것은 무엇인가. “이번 U대회는 대구·경북지역에서 열리는 최초의 국제스포츠 행사다. 섬유패션·첨단IT산업시설·생명공학산업 등 대구·경북지역의 브랜드를 알릴...,2003-01-03 00:00:00
2003,1,<전국 주요신문 톱뉴스>(1월4일자 조간),"(인천) = `범시민 축제위' 이달 중순 출범 ▲대전매일(대전) = 장기지구 배산임수 명당 ▲대전일보(대전) = 북, 미에 무조건 대화 제의 ▲중도일보(대전) = 새... 확대시행 ▲경기일보(수원) = 수원 이의동.성남 판교 개발 주공.토공 주도가 `웬말' ▲경인일보(수원) = 행정수도 이전문제 道.인천시 발전 `발목...",2003-01-04 00:00:00
2003,1,반갑다 얼음기둥!,"설악산용대산악구조대와 황태축제위원회는 오는 2월 7일부터 9일 까지 3일동안 인제군 북면 용대리 미시령3거리 매바위에서 ‘제1 회 인제군수배 전국 빙벽대회’를 열기로 했다고 4일 밝혔다. 경기종목은 난이도경기와 속도경기 등 2종목이며 참가자격은 안 전을 고려해 18세 이상 남녀, 빙벽등반 1년 이상...",2003-01-04 00:00:00
2003,1,"반갑다, 85m 얼음절벽!","설악산용대산악구조대와 황태축제위원회는 오는 2월 7일부터 9일 까지 3일동안 인제군 북면 용대리 미시령3거리 매바위에서 ‘제1 회 인제군수배 전국 빙벽대회’를 열기로 했다고 4일 밝혔다. 경기종목은 난이도경기와 속도경기 등 2종목이며 참가자격은 안 전을 고려해 18세 이상 남녀, 빙벽등반 1년 이상...",2003-01-04 00:00:00
2003,2,[여기는 아오모리] 日 반북감정에 공동응원 좌절,"“함께 응원하고 싶지만 일본인들의 반북감정을 의식하지 않을 수가 없네요” 남북한이 13년만에 함께 참가한 아오모리 동계아시안게임을 지켜보러 경기... 북-일간의 관계 악화가 ‘36억 아시아인의 겨울축제’를 통해 남한과 북한,민단과 조총련 교포들이 함께 어우러질 수 있는 절호의 기회를 날려 버리는 것...",2003-02-02 00:00:00
2003,2,[강원] 쫄깃쫄깃 황태축제 이달말부터 강원도 인제서,"올들어 5회째를 맞는 황태축제는 해를 거듭할수록 관광객들에게 큰호응을 얻어 빙어축제와 함께 인제 지역의 대표적인 축제로 자리잡고 있다. 올해는 황태덕장 설치를 비롯해 관태대회와 황태요리 경연대회,투호경기,즉석퀴즈대회 등 다양한 행사를 마련할 계획이다. 또 각종 민속공연과 댄스경연대회...",2003-02-02 00:00:00
2003,2,[NFL]한국계 워드 꿈의 무대 ‘터치다운’,야구나 농구 아이스하키 등 다른 종목과 달리 시즌 뒤에 열려 축제의 성격이 더 짙은 NFL 올스타전에서 워드는 38-6으로 앞선 4쿼터 중반 쿼터백 페이튼... 이날 경기에서 정규시즌 러싱 1위(1853야드)를 기록한 마이애미 돌핀스의 러닝백 리키 윌리엄스(26)는 56야드 전진에 2개의 터치다운을 성공시켜...,2003-02-03 00:00:00
2003,2,박진감 넘치는 4WD 레이싱 경기,"ⓒ2003 임채우 2003년 첫 국내 자동차경주행사인 '2003 코리아 레이싱 페스티벌 사륜 스노랠리'가 1월 25-26일 강원도 인제군 빙어축제장내 사륜 자동차 경기장에서 열렸다. 선수부분에서는 백무현(가솔린:k-station), 남호진(디젤:쿠러코리아 랠리)이 시리즈 종합 챔피언에 올랐다. 일반전에서는...",2003-02-04 00:00:00
2003,2,태백산 사진여행기 (1),▲ 새벽 태백역의 전경 ⓒ2003 임채우 태백 눈축제가 얼마 남지 않았다는 소식을 듣고 태백으로의 사진 여행을 계획했다. 처음에는 당일치기로 다녀... 스포츠 경기장)의 개장으로 모터스포츠를 좋아하는 나로서는 일년에도 몇번씩 가야하는 곳으로 되어버렸다. 사실 태백으로의 기차 여행은 밤보다는 낮에...,2003-02-04 00:00:00
2003,2,[독자의 목소리] 대통령 취임식도 변화 필요 청와대에서 간소하게 해야,이번 16대 대통령 취임식은 예전보다 더 축제 형식을 가미해 거행되는 듯하다. 국민의 다수 의사로 선출된 대통령이기에 이에 걸맞은 의식은 있는 것이... 함께 선서와 취임사만으로 끝내고 이를 TV로 국민에게 중계하는 것 만으로도 족하리라 생각하며 간소한 취임식을 건의한다. 황현성(경기도 화성시 태안읍),2003-02-04 00:00:00
2003,2,［NBA］말론 ‘비가오나 눈이오나’ 출장,"NBA에서 말론보다 많은 경기에 출장한 선수는 로버트 패리시(1,611경기)·카림 압둘자바(1,560)·존 스탁턴(1,470) 등 3명뿐이다. 말론은 이날 35분간 18득점·6리바운드·5어시스트를 기록하며 꾸준한 활약을 보였지만 종료 13.1초를 남기고 터진 댈러스의 닉 밴 엑셀의 역전 3점슛으로 대기록 달성의 축제...",2003-02-04 00:00:00
2003,2,정월대보름 하늘 수놓을 '불조각',"이어 3부 여흥시간에는 산청의 특산물인 토종 흙돼지구이 등, 먹고 마시는 축제의 한마당이 준비돼 참석자들이 오감을 즐기게 한다. 이렇게 단계적으로... 그의 작가정신이 말하듯 전국에는 그가 기획하고 조성한 국제 조각공원이 7곳(강원 영월·경기 이천·경남 산청·경북 김천·충남 부여·부산 UN기념공원...",2003-02-05 00:00:00
2003,2,지방자치시대에 알맞은 기업형 야구단 유치,"프로야구단이 창단되기 위한 가장 큰 요인은 바로 수익성이 내재된 경기장이 필요한 것인데, 현재 상황에서 신생팀 창단은 말 그대로 계란으로 바위를... 수많은 지역 축제들을 보면서 언론에 관심을 받기 위해 노력하고, 지역의 이름을 알리기 위해 많은 비용이 투입됨에도 별다른 효과를 내지 못하는 것은...",2003-02-05 00:00:00
2003,2,방송사 아시안게임 외면,일본 아오모리에서 겨울철 아시아경기대회가 한창이다. 8일까지 계속되는 이 대회는 아시아인들의 겨울축제라고 할 수 있을 정도로 큰 대회다. 신문에서는 연일 스포츠면 한면을 거의 다 채울 정도로 관심을 보이고 있다. 국민들 역시 신문을 통해 경기상황을 지켜보며 우리나라 선수들의 선전에 격려를...,2003-02-05 00:00:00
