year,month,festival_name,refined_festival_name
2003,2,쫄깃쫄깃 황태축제,쫄깃쫄깃 황태 축제
2003,2,대통령 취임식은 예전보다 더 축제,더 축제
2003,3,남양주 세계야외공연축제,남양주 세계 야외 공연 축제
2003,4,경기문화재단 연습실에서 이 축제,이 축제
2003,4,첫날엔 고적대 퍼레이드와 사물놀이 공연으로 축제,축제
2003,4,제주봄대축제,축제
2003,5,봄꽃 축제,봄꽃 축제
2003,6,김자윤 아파트 주차장에 차가 사라지고 때아닌 축제,축제
2003,6,대학생들의 축제,축제
2003,6,자동차 경주 대회가 끝나면 경기장에 대형 스크린을 통해 영화 상영 등 영화 축제,통해 영화 상영 등 영화 축제
2003,7,동계올림픽 유치 기원 축제,동계올림픽 유치 기원 축제
2003,7,밴쿠버는 축제,축제
2003,8,열리는 모모타로 축제,모모타로 축제
2003,8,시측은 뒤늦게 예산편성을 한 다음 축제,다음 축제
2003,9,여주도자기박람회,여주 도자기 박람회
2003,9,전세계 대학생들의 축제,축제
2003,9,간 달구벌에서 열전을 펼친 세계 대학생들의 스포츠 축제,스포츠 축제
2003,9,세계 광고 영상축제,세계 광고 영상 축제
2003,9,간 달구벌에서 열전을 펼친 세계 대학생들의 스포츠 축제,스포츠 축제
2003,11,한방 김치 축제,방 김치 축제
2003,11,김장대축제,축제
2003,12,한마음 축제,한마음 축제
2003,12,새로운 축제,축제
2004,3,새내기 대학생 축제,새내기 대학생 축제
2004,3,페이스 페인팅으로 축제,축제
2004,4,현대차울산공장 사택서 벚꽃축제,벚꽃 축제
2004,4,과학축제,과학 축제
2004,4,벚꽃축제,벚꽃 축제
2004,5,총선에서 민주노동당의 약진을 자축한다는 의미에서 축제,축제
2004,6,남양주시와 세계야외공연축제,세계 야외 공연 축제
2004,7,기념 공휴 일을 맞아 축제,축제
2004,7,내나라 여행박람회,내나라 여행 박람회
2004,8,밸리댄스 등 다양한 장르의 춤을 즐기 며 한여름밤의 정취를 만끽할 수 있는 대표적인 지역 축제,지역 축제
2004,8,중원절 축제,중원 절 축제
2004,8,음악축제,음악 축제
