year,month,festival_name,refined_festival_name
2003,1,빙어낚시 자체를 즐기려면 사람이 많은 빙어축제,빙어 축제
2003,2,대축제,축제
2003,2,화려한 발리 댄스와 전 통음악 그리고 흥미진진한 축제,축제
2003,2,악기박람회,악기 박람회
2003,3,인천은 성시화를 위해 각각 축제,위해 각각 축제
2003,3,매화꽃 축제,매화 꽃 축제
2003,3,젊은 거장들의 봄맞이 축제,봄맞이 축제
2003,3,이 때문에 축제,축제
2003,3,음악이 흐르는 가운데 축제,가운데 축제
2003,4,첫날엔 고적대 퍼레이드와 사물놀이 공연으로 축제,축제
2003,4,한편 서울 도심에서는 종로 일대 반전집회와 여의도 벚꽃축제,여의도 벚꽃 축제
2003,4,문화축제,문화 축제
2003,5,지역 축제,지역 축제
2003,5,인천해양축제,인천 해양 축제
2003,6,감사축제,감사 축제
2003,6,풍선 축제,풍선 축제
2003,6,문학경기장 등서 기념축제,기념 축제
2003,6,지역축제,지역 축제
2003,6,인천대공원 장미꽃 축제,인천대 공원 장미꽃 축제
2003,7,연꽃축제,연꽃 축제
2003,7,제주세계섬문화축제,제주 세계 섬 문화 축제
2003,8,모모타로 축제,모모타로 축제
2003,8,음식 축제,음식 축제
2003,8,세계야외축제,세계 야외 축제
2003,8,젊은이축제,젊은이 축제
2003,9,대축제,축제
2003,9,인천자유공원서 시낭송축제,낭송 축제
2003,10,시민참여축제,시민 참여 축제
2003,10,인천 클라운 마임 축제,운 마임 축제
2003,10,무술축제,무술 축제
2003,11,김장대축제,축제
2003,11,꾸며 쇼와 축제,축제
2004,2,이미 축제,축제
2004,2,매립지관리공사는 억새풀 축제와 들꽃 축제,들꽃 축제
2004,2,세계샤머니즘축제,세계 샤머니즘 축제
2004,3,페이스 페인팅으로 축제,축제
2004,4,박 대표는 벚꽃축제,벚꽃 축제
2004,5,양구 대암산 곰취 축제,양구 대암산 곰취 축제
2004,5,인천해양축제,인천 해양 축제
2004,5,해양축제,해양 축제
2004,6,호주음식 축제,호주 음식 축제
2004,6,체험과 축제,축제
2004,7,대축제,축제
2004,8,평생학습축제,평생 학습 축제
2004,8,인천시 청소년 축제,인천 시 청소년 축제
2004,8,인천 무의도 축제,인천 무의도 축제
2004,9,강화 갯벌장어축제,강화 갯벌 장어 축제
2004,9,갯벌장어축제,갯벌 장어 축제
2004,9,강화 갯벌장어축제,강화 갯벌 장어 축제
2004,9,전국평생학습축제,전국 평생 학습 축제
2004,10,외국인 근로자들이 참석한 가운데 축제,가운데 축제
2004,10,지역축제,지역 축제
2004,10,가을 축제,가을 축제
2004,10,지역축제,지역 축제
2004,11,인라인마라톤 축제,인 라인 마라톤 축제
2004,11,치악산생명문학축제,치악산 생명 문학 축제
2004,11,충주사과 축제,충주 사과 축제
2004,11,가을축제,가을 축제
2004,12,부터 개발되기 시작한 일산 신도시가 최대의 축제,축제
2004,12,세계유명축제,세계 유명 축제
2004,12,큰 손 김장훈 김장훈 역시 대학축제,손 김장훈 김장훈 역시 대학 축제
2005,2,인천해양축제,인천 해양 축제
2005,2,인천의 대표축제,대표 축제
2005,2,김제동은 개그맨 변신 이전에 모교인 대구 계명문화대 등 대학축제,등 대학 축제
2005,2,현대무용과 인도 전통춤을 결합한 영국 아크람칸 무용단의 공연을 서울 세계무용축제,서울 세계 무용 축제
2005,3,마임축제,마임 축제
2005,4,대축제,축제
2005,4,아빠 손잡고 봄꽃축제,봄꽃 축제
2005,4,벚꽃축제,벚꽃 축제
2005,5,대축제,축제
2005,5,보도된 축제,축제
2005,5,동요축제,동요 축제
2005,6,관세청은 축제,축제
2005,6,동별 자전거 축제,별 자전거 축제
2005,6,회원국의 전통 의상을 입고 부산 시내를 행진하며 댄스 축제,댄스 축제
2005,7,야간 맥주축제,야간 맥주 축제
2005,7,섬축제,섬 축제
2005,8,대학생 축제,대학생 축제
2005,8,인천해양축제,인천 해양 축제
2005,8,해양축제,해양 축제
2005,9,이상 도는 등 축제,등 축제
2005,9,지난해에 이어 올해 두 번째로 열리는 이번 낚시대회는 축제,축제
2005,10,차이나타운 축제,차이나타운 축제
2005,10,넘는 시민들이 밤늦게까지 몰리면서 축제,축제
2005,10,기념축제,기념 축제
