year,month,festival_name,refined_festival_name
2003,2,과천한마당축제,마당 축제
2003,2,나비따라 자운영 축제,자운영 축제
2003,2,임수택 과천한마당축제,마당 축제
2003,2,과학의 달 거리축제,달 거리 축제
2003,3,딸기축제,딸기 축제
2003,3,그랜드힐튼 캐나다 음식축제,그랜드 힐튼 캐나다 음식 축제
2003,4,겉으로 드러난 모습만 따지면 평화롭고 축제,축제
2003,4,명동축제,명동 축제
2003,4,예술축제,예술 축제
2003,6,신부쪽에서는 결혼식날 축제,결혼식 날 축제
2003,7,서울아동청소년공연예술축제,서울 아동 청소년 공연예술 축제
2003,7,크라이슬러 이용권 축제,크라이슬러 이용권 축제
2003,8,바다축제,바다 축제
2003,8,호수축제,호수 축제
2003,8,모모타로 축제,모모타로 축제
2003,8,조양강변축제,강변 축제
2003,8,버스 안에서는 과학축제,과학 축제
2003,9,쿠쉐빌의 음악축제,음악 축제
2003,9,로또 대축제,축제
2003,10,기평선축제,평선 축제
2003,11,술집과 가게들은 할로윈 장식으로 축제,축제
2003,11,김장대축제,축제
2003,11,명동의 크리스마스 축제,크리스마스 축제
2003,11,김태훈 세종대 교수의 사회로 진행되는 이날 행사는 작품보다는 축제,축제
2004,1,성탄절을 맞아 시내가 온통 축제,온통 축제
2004,1,특정방송사에 밀린 들러리 호미곶 축제,들러리 호미곶 축제
2004,2,고궁서 궁중 전통축제,전통 축제
2004,2,무주리조트 중국 빙등축제,무주리조트 중국 빙등 축제
2004,2,세종문화회관 재개관 축제,세종 문화 회관 재개 관 축제
2004,3,삼겹살 데이 맞이 대축제,축제
2004,3,삼겹살 데이 맞이 대축제,축제
2004,3,삼겹살 데이 맞이 대축제,축제
2004,3,토스카나지방 축제,토스카나 지방 축제
2004,3,외쳤으며 모두가 축제,축제
2004,3,만세의 날 거리 축제,날 거리 축제
2004,3,만세의 날 거리 축제,날 거리 축제
2004,4,목포역 고속철 개통 축제,목포역 고속 철 개통 축제
2004,4,고속철 시대가 개막된 부산역은 곳곳에 축하 현수막이 내걸리고 화려한 조명으로 단장돼 온통 축제,온통 축제
2004,4,경부선 동대구역은 축제,축제
2004,4,목포역 축제,목포역 축제
2004,5,오늘부터 서울 축제,서울 축제
2004,5,경찰은 노동절 집회가 매년 열리는 세계적인 행사인 만큼 축제,만큼 축제
2004,5,원칙에 따라 대응하되 이 집회가 매년 개최되는 세계적 기념행사인 만큼 축제,만큼 축제
2004,5,어린이축제,어린이 축제
2004,5,고궁축제,고궁 축제
2004,6,년부터 시작된 현대음악 축제,현대 음악 축제
2004,6,연속 히트곡을 내놓은 거북이는 국내 대학가 축제,국내 대학가 축제
2004,7,태국요리축제,태국 요리 축제
2004,7,태국요리축제,태국 요리 축제
2004,7,태국요리축제,태국 요리 축제
2004,8,러브 러브 허니문 대축제,축제
2004,8,강화 선원사 논두렁 연꽃 축제,강화 선원 사 논 두렁 연꽃 축제
2004,8,동아시아 청년축제,동아시아 청년 축제
2004,9,축구축제,축구 축제
2004,9,포크음악으로 옛 대학축제,대학 축제
2004,9,강화 갯벌장어축제,강화 갯벌 장어 축제
2004,9,독일 최대 민속축제,독일 최대 민속 축제
2004,9,독일 최대 민속축제,독일 최대 민속 축제
2004,10,한국인 축제,한국인 축제
2004,10,구로문화축제,구로 문화 축제
2004,11,열리는 올해 축제,올해 축제
2004,11,스웨덴 문화축제,스웨덴 문화 축제
2004,11,민주당은 축제,축제
2004,11,시인축제,시인 축제
2004,11,스웨덴 문화축제,스웨덴 문화 축제
2004,11,전국 축제,전국 축제
2004,11,창원단감축제,창원 단감 축제
2004,12,골프축제,골프 축제
2004,12,삼성 자원봉사축제,삼성 자원봉사 축제
2005,1,인기가수 등이 출연하는 공연과 불꽃놀이가 펼쳐져 축제,축제
2005,2,개그맨 양원경이 진행을 맡아 환자들의 쾌유를 비는 축제,축제
2005,2,뽑아 제주도 유채꽃 축제,제주도 유채꽃 축제
2005,2,나비축제,나비 축제
2005,3,안양에서 개최될 안양변방영화축제,축제
2005,3,삼겹살 축제,삼겹살 축제
2005,3,삼겹살 축제,삼겹살 축제
2005,3,날 거리축제,날 거리 축제
2005,3,날 거리축제,날 거리 축제
2005,3,날 거리축제,날 거리 축제
2005,3,날 거리축제,날 거리 축제
2005,3,날 거리축제,날 거리 축제
2005,4,모래축제,모래 축제
2005,4,맞아 문화축제,문화 축제
2005,4,보도자료를 내고 투표율을 높이고 전대를 축제,축제
2005,4,바쁜 일상에 소원했던 단짝 친구를 챙기는 날로 제안해 다양한 문화축제,문화 축제
2005,5,빛 축제,빛 축제
2005,5,하이서울 축제,하이 서울 축제
2005,6,올해는 축제,축제
2005,6,문화제 산꽃약풀축제,풀 축제
2005,6,외국인 노동자 문화축제,외국인 노동자 문화 축제
2005,6,커뮤니티 한강 카페 축제,커뮤니티 한강 카페 축제
2005,7,한편 오송역이 분기역으로 결정된 데 대해 충북은 축제,축제
2005,8,극장과 전시가 공존하는 영화축제,영화 축제
2005,8,대학생 축제,대학생 축제
2005,9,강릉시민 한마음 축제,강릉 시민 한마음 축제
2005,9,또 팜스테이 농촌체험 및 지역축제,스테이 농촌 체험
2005,9,지난해 전주 종이문화 축제,지난해 전주 종이 문화 축제
2005,9,이상 도는 등 축제,등 축제
2005,9,등 축제,등 축제
2005,9,대통령 취임식 날 공식 행사는 매끄럽게 진행됐으나 축제,축제
2005,9,속리산 단풍축제,속리산 단풍 축제
2005,10,들불축제,들불 축제
2005,10,진주 남강유등축제,진주 남 강유 등 축제
2005,10,풍기인삼축제,풍기 인삼 축제
2005,11,불꽃놀이 축제,불꽃놀이 축제
2005,11,마을 축제,마을 축제
2005,11,테마파크들이 크리스마스 축제,크리스마스 축제
2005,12,쓰는 축제,축제
2005,12,최남단 감귤농장 체험축제,최 남단 감귤 농장 체험 축제
2005,12,하계 올림픽 유치와 불꽃축제,불꽃 축제
2005,12,세계 녹차박람회,세계 녹차 박람회
2005,12,호주 최초의 월드컵 대표팀 멤버를 불러 시축하는 행사를 갖기도 하는 등 연일 축제,등 연일 축제
2006,1,시민이 한꺼번에 몰린 거리 곳곳에는 희망의 노래 소리가 울려퍼지고 터지는 폭죽에 축제,축제
2006,1,울산 간절곶 해맞이 축제,울산 간절곶 해 맞이 축제
2006,1,재작년 전주세계소리축제,재작년 전주 세계 소리 축제
2006,1,시민이 한꺼번에 몰린 거리 곳곳에는 희망의 노래 소리가 울려퍼지고 터지는 폭죽에 축제,축제
2006,2,작년봄 호주에서 열린 월드뮤직축제,월드뮤직 축제
2006,2,서울대공원관리사업소는 지금껏 사업소 자체에서 진행했던 각종 축제,각종 축제
2006,2,게이머 축제,게이머 축제
2006,2,서울대공원은 올해부터 각종 축제,각종 축제
2006,3,휴대전화 등의 제품들을 전시해 축제,축제
2006,4,함평 나비축제,함평 나비 축제
2006,4,수상스포츠 축제,수상 스포츠 축제
2006,5,과천한마당축제,마당 축제
2006,5,속초 설악제와 고성 명태축제 인제 빙어축제 등 지역내 축제,고성 명태 축제 인제 빙어 축제 등 지역 내 축제
2006,5,학교축제,학교 축제
2006,5,선거 축제,선거 축제
2006,5,선거 축제,선거 축제
2006,5,멕시코서 현지인과 어우러진 연등축제,연등축제
2006,5,맞아 곳곳에서 쏟아지는 대학 축제,대학 축제
2006,6,오세훈 서울시장 후보 선거캠프도 온통 축제,온통 축제
2006,6,출판사 코엑스서 전시 축제,전시 축제
2006,6,박물관에서 벌이고 있는 다양한 교육 프로그램과 향토축제,향토 축제
2006,7,대관령국제음악제 개최 클래식 음악과 함께 한 여름 피서를 보낼 수 있는 축제,축제
2006,7,첫 선을 보였던 작품으로 작년 일본 히타치 거리극 축제와 프랑스 아비뇽 축제,프랑스 아비뇽 축제
2006,7,대학생들이 참여하는 뮤지컬 축제,뮤지컬 축제
2006,7,대학생들이 참여하는 뮤지컬 축제,뮤지컬 축제
2006,8,통영 한산대첩 축제,통영 한산 대첩 축제
2006,8,바다축제,바다 축제
2006,8,열리는 온라인 영화축제,온라인 영화 축제
2006,8,신비의 바닷길 축제,길 축제
2006,9,관폐 끼친 동에 축제,축제
2006,9,전북 가을 문화축제,전북 가을 문화 축제
2006,10,및 축제,
2006,10,상세한 공연 일정과 출연진 정보는 축제,축제
2006,10,국산 캐릭터 축제,국산 캐릭터 축제
2006,11,대구시내 영어학원들은 핼러윈 호박을 만드는 등 핼러윈 축제,등 핼러윈 축제
2006,11,명맥 축제,명맥 축제
2006,11,가을 축제,가을 축제
2006,11,주제로 한 태권도시범이 펼쳐져 축제,축제
2006,11,놀이공원은 벌써 겨울 축제,벌써 겨울 축제
2006,12,울산축제,울산 축제
2007,1,이 곳은 그야말로 축제,축제
2007,1,행사가 시작되기 훨씬 전인 해질 무렵부터 보신각 인근인 종로와 청계천 주변에는 이미 수만명의 인파가 몰려들어 소형 축포를 하늘로 쏘아 올리는 등 일찌감치 축제,찌 감치 축제
2007,1,행사가 시작되기 훨씬 전인 해질 무렵부터 보신각 인근인 종로와 청계천 주변에는 이미 수만명의 인파가 몰려들어 소형 축포를 하늘로 쏘아 올리는 등 일찌감치 축제,찌 감치 축제
2007,1,뒤로 하고 새해를 맞이하려는 시민들의 발길이 이어지면서 보신각 주변은 축제,축제
2007,1,가족과 함께 희망찬 새해를 맞이하려는 시민들로 축제,축제
2007,2,또는 축제,축제
2007,3,매화축제와 향일암 해돋이 여수 향일암 해돋이와 광양 매화축제,광양 매화 축제
2007,3,프랑스 겨울축제,프랑스 겨울 축제
2007,3,정월대보름 축제,정월대보름 축제
2007,4,한강 여의도 봄꽃 축제,한강 여의도 봄꽃 축제
2007,4,벚꽃 축제,벚꽃 축제
2007,4,여의도 봄꽃 축제,여의도 봄꽃 축제
2007,5,여자축구 대축제,축제
2007,5,주제로 축제,축제
2007,6,강원민속예술축제,강원 민속예술 축제
2007,6,맞아 공동으로 주최한 한국영화축제,축제
2007,6,성남시민 건강축제,성남 시민 건강 축제
2007,6,미술축제,미술 축제
2007,6,기념하는 한국영화축제,축제
2007,6,물고기의 축제,축제
2007,7,서울대공원 별밤축제,서울대 공원 별밤 축제
2007,8,실내악 축제,실내악 축제
2007,8,바다축제,바다 축제
2007,9,대구서 국제오페라축제,국제 오페라 축제
2007,10,평생학습축제,평생 학습 축제
2007,10,청계천 축제,청계천 축제
2007,10,서울평생학습축제,서울 평생 학습 축제
2007,11,매일경제가 주관하는 동포 기업인의 축제,축제
2007,11,한강 누리기에는 한강에서 펼쳐지는 다양한 레포츠와 축제,축제
2007,11,한강 누리기에는 한강에서 펼쳐지는 다양한 레포츠와 축제,축제
2007,11,사회공헌문화 대축제,축제
2007,12,지역 경제효과를 창출한 산천어축제와 쪽배축제,쪽배 축제
2007,12,유서깊은 음악축제,음악 축제
2007,12,진주서 광제산 등산 축제,산 등산 축제
2007,12,연등축제,연등축제
2008,1,이곳은 그야말로 축제,축제
2008,2,올해 행사는 디자인 분야의 거장들이 미래 디자인을 전망하고 도시디자인 정책을 토론하는 콘퍼런스 전시회 공모전 서울빛축제,콘퍼런스 전시회 공모전 서울 빛 축제
2008,2,몰리는 등 축제,등 축제
2008,2,불꽃 축제,불꽃 축제
2008,2,지역 축제,지역 축제
2008,4,태백산 눈축제,태백산 눈 축제
2008,4,경포대서 벚꽃축제,벚꽃 축제
2008,4,비슷한 축제,축제
2008,5,인사동서 전통문화축제,전통문화 축제
2008,5,건강축제,건강 축제
2008,5,전북 곳곳에서 축제,축제
2008,6,진보적 영상축제,영상 축제
2008,6,서울대공원 장미축제,서울대 공원 장미 축제
2008,6,가족축제,가족 축제
2008,6,단오축제,단오 축제
2008,7,쪽배축제 토마토축제,쪽배 축제 토마토 축제
2008,7,스포츠문화박람회,스포츠 문화 박람회
2008,7,휴게소서 한산대첩축제,한산 대첩 축제
2008,7,하이서울페스티벌 거리축제에서는 연등축제,연등축제
2008,8,연음식도 선보이는 축제,축제
2008,8,실내악 축제,실내악 축제
2008,8,미국은 의회 시정연설 때 평소 대통령을 못 잡아먹어서 안달이던 의원들이 모두 기립박수로 대통령을 맞으며 축제,축제
2008,9,동대문 패션축제,동대문 패션 축제
2008,9,가족과 이웃이 함께 참여하는 마라토너들의 도심 축제,도심 축제
2008,10,김제 지평선축제,김제 지평선 축제
2008,10,순대축제,순대 축제
2008,10,맞아 경기지역 곳곳에서 다양한 축제,축제
2008,11,한우농가는 축제,축제
2008,12,전남 여수에서 열리는 세계박람회,세계박람회
2009,1,그야말로 축제,축제
